COMMENT;Designator;FOOTPINT ;LCSC;;
1;MX79;MXOnly-1U-NoLED;1;;
2;MX45;MXOnly-1U-NoLED;1;;
3;MX95;MXOnly-1U-NoLED;1;;
4;D101,D99,D97,D95,D85,D84,D82,D80,D78,D72,D64,D63,D61,D58,D56,D54,D53,D52,D50,D48,D45,D43,D42,D40,D38,D37,D35,D31,D29,D27,D26,D24,D22,D21,D19,D17,D16,D15,D13,D11,D10,D8,D6,D5,D4,D2,D102,D100,D98,D96,D94,D93,D92,D91,D90,D89,D88,D87,D86,D83,D81,D79,D77,D76,D75,D74,D73,D71,D70,D69,D68,D67,D66,D65,D62,D60,D59,D57,D55,D51,D49,D47,D46,D44,D41,D39,D36,D34,D33,D32,D30,D28,D25,D23,D20,D18,D14,D12,D9,D7,D3,D1;D_SOD-123;102;;
5;Y1;Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering;1;;
6;F1;Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;;
7;MX103;MXOnly-2U-NoLED;1;;
8;MX102;MXOnly-2U-NoLED;1;;
9;MX88;MXOnly-2U-NoLED;1;;
10;MX104;MXOnly-1U-NoLED;1;;
11;MX39;MXOnly-1U-NoLED;1;;
12;MX43;MXOnly-1U-NoLED;1;;
13;MX34;MXOnly-7U-NoLED;1;;
14;MX33;MXOnly-1U-NoLED;1;;
15;MX32;MXOnly-1U-NoLED;1;;
16;MX48;MXOnly-1U-NoLED;1;;
17;MX31;MXOnly-1U-NoLED;1;;
18;MX44;MXOnly-1U-NoLED;1;;
19;MX40;MXOnly-1U-NoLED;1;;
20;MX36;MXOnly-1U-NoLED;1;;
21;MX46;MXOnly-1U-NoLED;1;;
22;MX41;MXOnly-1U-NoLED;1;;
23;MX42;MXOnly-1U-NoLED;1;;
24;MX38;MXOnly-1U-NoLED;1;;
25;MX35;MXOnly-1U-NoLED;1;;
26;MX37;MXOnly-1U-NoLED;1;;
27;MX47;MXOnly-1U-NoLED;1;;
